tag	rating
funny	4
Highly quotable	4
will ferrell	4
Boxing story	5
MMA	5
Tom Hardy	3
drugs	5
Leonardo DiCaprio	4
Martin Scorsese	5
way too long	5
Al Pacino	5
gangster	5
mafia	3
Al Pacino	5
Mafia	4
holocaust	5
true story	3
twist ending	3
Anthony Hopkins	5
courtroom drama	4
twist ending	4
britpop	5
indie record label	4
music	3
dumpster diving	4
Sustainability	5
romantic comedy	4
wedding	3
painter	5
bloody	4
black hole	4
sci-fi	5
time-travel	4
fantasy	4
magic board game	4
Robin Williams	5
beautiful scenery	5
epic	3
historical	5
inspirational	3
Medieval	4
mel gibson	3
Oscar (Best Cinematography)	3
revenge	4
sword fight	5
black comedy	5
Christina Ricci	5
Christopher Lloyd	4
dark comedy	5
family	3
gothic	5
Al Pacino	5
Andy Garcia	5
Classic	5
Francis Ford Coppola	3
mafia	5
black comedy	5
Christina Ricci	4
Christopher Lloyd	5
Family	4
gothic	5
quirky	5
family	5
funny	4
Macaulay Culkin	5
sequel	5
animation	4
Disney	5
funny	5
original	5
Pixar	5
sequel	5
Tom Hanks	4
ancient Rome	5
Epic	5
history	4
imdb top 250	2
revenge	5
Rome	5
Russell Crowe	5
Ed Harris	5
Jude Law	5
Rachel Weisz	5
sniper	3
World War II	4
Al Pacino	5
atmospheric	5
Hilary Swank	5
Robin Williams	5
sequel	5
violent	5
dogs	4
Eric Bana	3
mad scientist	3
marvel	3
captain nemo	3
comic book	4
gothic	4
Peta Wilson	5
Sean Connery	4
superhero	5
adventure	3
Angelina Jolie	5
heroine in tight suit	5
Adventure	4
ensemble cast	5
fantasy	3
fantasy world	3
great soundtrack	5
lord of the rings	4
scenic	4
stylized	5
Tolkien	4
hilarious	4
Steve Carell	5
Will Ferrell	5
animation	4
anime	4
cyberpunk	5
dark	4
Matrix	5
sci-fi	4
dark comedy	5
Jim Carrey	4
meryl streep	5
quirky	4
stylized	5
Adam Sandler	5
family	5
sweet	3
British gangster	5
confusing	4
daniel craig	4
Exquisite plotting.	4
organized crime	5
stylish	5
Tom Hardy	5
anime	5
fantasy world	5
Hayao Miyazaki	4
Studio Ghibli	5
David Thewlis	4
Eva Green	4
Liam Neeson	2
Orlando Bloom	4
Chris Evans	4
comic book	5
heroine in tight suit	5
Jessica Alba	2
sexy female scientist	5
superhero	4
gothic	5
helena bonham carter	2
Johnny Depp	5
Tim Burton	4
visually appealing	3
black comedy	5
clever	4
fast-paced dialogue	5
good dialogue	5
Robert Downey Jr.	4
witty	4
adventure	5
Audrey Tautou	3
conspiracy theory	5
Mystery	5
Paris	5
Tom Hanks	5
treasure hunt	5
Brad Pitt	4
cate blanchett	2
multiple storylines	4
social commentary	4
Ben Stiller	5
Robin Williams	4
emma thompson	4
Maggie Gyllenhaal	5
modern fantasy	3
romance	5
surreal	5
Will Ferrell	5
Marion Cotillard	5
Africa	4
corruption	4
Jennifer Connelly	5
justice	5
Leonardo DiCaprio	5
bad acting	4
bad jokes	5
bad plot	5
Chris Evans	5
Jessica Alba	5
Marvel	5
sexy female scientist	4
Rachel Weisz	5
Ryan Reynolds	5
fantasy	5
lion	4
narnia	5
Tilda Swinton	5
bad script	5
Charlize Theron	5
Will Smith	4
Anne Hathaway	5
Steve Carell	4
comedy	1
funny	3
will ferrell	3
comedy	5
James Franco	5
Seth Rogen	5
Stoner Movie	4
audience intelligence underestimated	4
boring	5
chick flick	5
overrated	5
Teen movie	4
Adrien Brody	4
con artists	4
funny	5
interesting characters	4
Mark Ruffalo	4
Rachel Weisz	5
Bill Murray	5
dark comedy	5
Emma Stone	5
funny	4
Jesse Eisenberg	4
Woody Harrelson	5
audience intelligence underestimated	4
CGI	4
cheesy	5
comic book	3
DC	4
DC Comics	4.5
Ryan Reynolds	4
space	4
superhero	3.5
comedy	4
funny	4
happy ending	4.5
HOT actress	5
Justin Timberlake	4.5
Mila Kunis	3
New York City	4
romance	3
sex	4
Istanbul	4.5
Liam Neeson	5
predictable	4
Turkey	5
unnecessary sequel	3.5
action	2.5
Christoph Waltz	3.5
funny	5
good soundtrack	3
Great performances	4
Humour	2
Leonardo DiCaprio	3.5
Quentin Tarantino	5
Samuel L. Jackson	5
Soundtrack	0.5
western	0.5
Amy Adams	0.5
superhero	0.5
daniel radcliffe	0.5
zoe kazan	5
comedy	0.5
Steve Carell	0.5
stupid but funny	0.5
will ferrell	0.5
anti-intellectual	0.5
bad writing	3.5
dystopia	0.5
new society	3
plot holes	4.5
predictable	0.5
scifi	0.5
unintelligent	0.5
Charlize Theron	2
Liam Neeson	4
Seth MacFarlane	0.5
witty	5
action	4.5
dystopia	0.5
plot holes	5
post-apocalyptic	0.5
survival	5
thriller	0.5
unexplained	5
weak plot	5
dark hero	4.5
gun-fu	5
Keanu Reeves	0.5
Revenge	5
secret society	4.5
stylish	5
black comedy	4.5
dark comedy	5
dark humor	0.5
ironic	3
multiple short stories	2
short stories	3
bromance	2
comedy	3
funny	3
James Franco	4
Seth Rogen	5
comic book	1
Dr. Strange	5
Great villain	3
Guardians of the Galaxy	5
Marvel	2
MCU	5
Robert Downey Jr.	1
Thanos	5
Thor	2
Visually stunning	3
characters	5
Dialogue	5
humor	1
Kurt Russell	5
Quentin Tarantino	5
Samuel L. Jackson	4
tension building	4
violent	3
Western	3
dystopia	4
Jennifer Lawrence	2
love story	1
nonsense	2
politics	5
rebellion	5
revolution	5
Ben Kingsley	1
ethics	5
immortality	1
ryan reynolds	2
Bad story	4
Bad writing	5
Batman	3
Ben Affleck	2
comic book	5
dc comics	3
good soundtrack	4
Harley Quinn	3
Harley Quinn's ass	4
Horrible directing	4
Jared Leto	5
Joker	4
lack of plot	4
Margot Robbie	4
Poor story	5
poorly paced	5
superhero	5
visually appealing	5
Will Smith	5
action	5
batman	5
ben affleck	3
dark	4
dc comics	5
Gal Gadot	3
superhero	2
superman	4
wonderwoman	5
leonardo DiCarpio	2
survival	5
tom hardy	5
visually appealing	5
building a family	3
creative	5
freedom	5
good writing	4
individualism	1
Viggo Mortensen	5
action	5
dark hero	5
gun tactics	3
hitman	2
Keanu Reeves	5
organized crime	1
secret society	4
Dystopia	4
future	4
interesting	5
jon hamm	4
thought provoking	4
Action	4
Comedy	2
Dwayne Johnson	5
funny	5
Comedy	4
funny	4
Rachel McAdams	3
adventure	1
Alicia Vikander	5
video game adaptation	4
Josh Brolin	4
Ryan Reynolds	4
sarcasm	3
Emilia Clarke	1
star wars	2
classic	4
space action	1
action	4
sci-fi	4
EPIC	5
great soundtrack	3
good dialogue	5
great soundtrack	2
non-linear	4
Everything you want is here	3
adventure	2
classic sci-fi	4
engrossing adventure	3
EPIC	4
classic	1
Nerd	3
animation	5
funny	2
stone age	5
action	4
killer	2
widows/widowers	4
animation	5
kids	4
robots	3
action	5
murder	5
police	5
Kevin Costner	4
Post apocalyptic	5
dark comedy	1
dark humor	1
irreverent	2
jay and silent bob	4
Kevin Smith	4
satire	5
irreverent	3
based on a book	4
bloody	4
brutal	1
controversial	5
dystopia	5
goretastic	1
satire	4
social commentary	5
survival	2
violence	4
alternate reality	1
sci-fi	2
science fiction	5
time travel	5
brutal	5
clever	4
Disturbing	4
great ending	5
mindfuck	2
surprise ending	2
suspense	4
cruel characters	4
brutality	5
dark humor	4
threesome	3
Seth Rogen	5
Sexual Humor	4
Seth Rogen	1
embarassing scenes	4
offensive	4
R language	4
sarcasm	4
satire	3
80's	5
Crude humor	4
mindfuck	4
sarcasm	2
satire	1
Vulgar	5
sofia coppola	2
John Cusack	1
Ewan McGregor	3
Renee Zellweger	3
jackie chan	5
kung fu	4
Something for everyone in this one... saw it without and plan on seeing it with kids!	3
assassin	4
Jean Reno	4
assassin	3
assassin-in-training (scene)	1
espionage	3
Robert Ludlum	4
test tag	3
feel-good	3
fun family movie	4
very funny	5
black and white	3
Christopher Nolan	4
directorial debut	3
mindfuck	3
not linear	2
Twist Ending	5
action	4
comic book	3
hugh jackman	2
marvel	4
superhero	1
dark	4
Mindfuck	3
nonlinear	1
psychology	3
twist ending	5
alan rickman	3
harry potter	4
humorous	4
Magic	5
atmospheric	4
insomnia	4
thought-provoking	4
amazing artwork	4
anime	3
sci-fi	4
anime	5
end of the world	4
epic	3
mecha	3
psychology	4
anime	5
comedy	3
gintama	4
remaster	3
classic sci-fi	1
space action	5
space epic	5
atmospheric	3
cult film	2
dreamlike	3
hallucinatory	3
psychological	3
surreal	2
time travel	3
dreamlike	4
sentimental	2
surreal	3
Tim Burton	4
alternate reality	4
memory	5
thought-provoking	3
cinematography	5
India	4
surreal	3
oldie but goodie	4
sci-fi	3
Star Wars	5
big wave	3
surfing	5
ummarti2006	5
funny	5
high school	3
comic book	3
Notable Nudity	4
moldy	5
old	3
moving	5
predictable	4
a clever chef rat	4
inspirational	3
animation	3
hope	4
atmospheric	3
drugs	4
mathematics	4
zombies	4
DEPRESSING	2
stupid	2
predictable	5
Favelas	4
black comedy	3
based on a book	4
dark comedy	3
narrated	3
reciprocal spectator	4
reciprocal spectator	4
documentary	5
Animation	4
Documentary	4
Henry Darger	3
the catholic church is the most corrupt organization in history	4
childish naivity	4
friendship	1
adventure	4
Bechdel Test:Fail	4
cartoon	4
children	4
computer animation	3
divorce	3
dogs	4
dreams	3
Pixar	5
Narrative pisstake	3
american idolatry	2
atmospheric	4
Coen Brothers	4
Jeff Bridges	4
Matt Damon	4
predictable	3
celebrity fetishism	1
mediacentralism	4
system holism	3
city politics	5
italy	4
political right versus left	3
Creature Feature	3
documentary	3
music industry	3
remix culture	4
film history	4
poetic	4
representation of children	4
Disney	4
Disney animated feature	3
Oscar (Best Music - Original Score)	4
music	3
Ben Stiller	5
comic book	3
music	3
music	3
awesome	5
british comedy	3
pixar	3
superhero	3
knights	3
highschool	1
cult	2
boksdrama	3
stiller	3
wapendrama	3
animation	3
sisters	2
ROBOTS AND ANDROIDS	4
space	3
post-college	3
restaurant	3
transvestite	3
satire	4
dark comedy	3
chick flick	3
funny	4
Paul Rudd	4
quotable	4
seen more than once	3
Amazing Cinematography	2
Leonardo DiCaprio	3
shakespeare	4
updated classics	3
Atmospheric	4
Bruce Willis	5
ghosts	3
imdb top 250	2
mindfuck	4
stylized	4
twist ending	3
android(s)/cyborg(s)	3
artificial intelligence	3
Bittersweet	5
Steven Spielberg	4
cinematography	3
Tom Hanks	4
Bette Davis	3
Oscar (Best Actress)	3
Mark Ruffalo	3
clever	5
High School	3
lesbian subtext	4
Leonardo DiCaprio	5
suspense	3
twist ending	3
undercover cop	3
Christian Bale	3
Casey Affleck	4
great performances	3
twist	4
ending	4
Anne Hathaway	5
Christian Bale	3
Christopher Nolan	4
comic book	3
great ending	2
Morgan Freeman	3
political commentary	3
superhero	4
Afghanistan	3
American propaganda	2
assassination	3
military	3
terrorism	4
time travel	3
mystery	1
twist ending	3
mindfuck	5
suspense	4
thriller	5
tricky	4
twist ending	5
addiction	1
heroin	4
Leonardo DiCaprio	3
Mark Wahlberg	3
controversial	5
New York City	3
Nudity (Full Frontal)	5
cynical	4
hilarious	4
independent film	3
quirky	3
witty	3
classic sci-fi	3
sci-fi	3
space adventure	5
Star Wars	5
brutality	4
controversial	3
dark comedy	4
psychedelic	4
satire	4
stylized	5
cult film	3
drugs	3
Quentin Tarantino	3
Tarantino	3
soundtrack	4
thought-provoking	3
sci-fi	5
apocalypse	3
Arnold Schwarzenegger	4
nuclear war	5
sci-fi	4
Suspense	3
time travel	3
based on a true story	5
dark comedy	3
KIDNAPPING	4
Steve Buscemi	3
edward norton	3
psychology	3
suspense	3
thought-provoking	3
twist ending	3
ensemble cast	4
nonlinear	3
Quentin Tarantino	3
stylized	3
freedom of expression	5
british comedy	4
Monty Python	3
emotional	3
jack nicholson	4
adventure	3
archaeology	4
indiana jones	4
Steven Spielberg	3
treasure hunt	5
action	3
aliens	3
horror	2
sci-fi	4
space	4
space craft	3
SPACE TRAVEL	4
suspense	4
Alfred Hitchcock	4
psychology	5
suspenseful	3
tense	3
Action	3
artificial intelligence	4
robots	3
Sci-Fi	3
special effects	3
tense	5
time travel	3
atmospheric	3
disturbing	4
Horror	3
jack nicholson	3
masterpiece	4
psychological	4
Stanley Kubrick	3
suspense	3
horror	3
Juliette Lewis	3
Martin Scorsese	3
Robert De Niro	3
mindfuck	3
Mystery	3
plot twist	3
psychological	4
suspense	3
twist ending	2
inspirational	3
hallucinatory	3
mental illness	5
mindfuck	4
paranoid	3
Ben Stiller	5
crude humor	5
goofy	3
Atmospheric	5
creepy	3
paranoia	4
scary	4
suspense	5
SNL	3
thought-provoking	4
Nicolas Cage	3
martial arts	3
sci-fi	4
adult humor	5
controversial	3
crude humor	4
free speech	4
parody	1
satire	4
south park	3
Trey Parker	3
dark comedy	3
psychology	3
thought-provoking	4
twist ending	3
based on a book	4
creepy	5
disturbing	3
Jude Law	4
murder	2
obsession	5
psychology	3
secrets	1
serial killer	3
suspense	3
asylum	5
based on a true story	5
Brittany Murphy	3
Mental Hospital	3
psychology	3
winona ryder	4
claustrophobic	3
horror	5
scary	4
stephen king	3
suspenseful	4
tense	3
thriller	3
aliens	4
sci-fi	4
scifi cult	3
satire	3
comedy	3
Robert De Niro	3
mystery	3
psychological	3
twist ending	3
Al Pacino	4
ben stiller	4
comedy	4
David Bowie	2
goofy	4
mindless one liners	4
Will Ferrell	3
jake gyllenhaal	5
fantasy	4
high fantasy	4
Magic	3
mythology	4
tolkien	3
wizards	4.5
black and white	4.5
samurai	3
multiple storylines	4.5
true story	4
comedy	5
Will Ferrell	5
Rob Zombie	3
jim carrey	5
comedy	5
Will Ferrell	2
Christian Bale	3
creepy	2.5
powerful ending	3
psychology	5
schizophrenia	3.5
twist ending	4
drugs	4
lesbian	4.5
Ben Stiller	3
Robert De Niro	4
Rob Zombie	4
Jake Gyllenhaal	1.5
Modern war	4
atmospheric	4
Jack Nicholson	4
Leonardo DiCaprio	5
Martin Scorsese	4.5
suspense	5
based on a play	1.5
conspiracy theory	5
creepy	3.5
Insanity	5
paranoia	4
PTSD	3
funny	3
will ferrell	0.5
claymation	4
creepy	1.5
dark	4.5
dark fairy tale	5
Surreal	2
Tim Burton	3.5
black comedy	5
Brad Pitt	1.5
Christoph Waltz	3
Quentin Tarantino	4.5
satire	2
insanity	2.5
Leonardo DiCaprio	1.5
Martin Scorsese	3.5
plot twist	4.5
psychological	4
Psychological Thriller	4.5
thought-provoking	1.5
action	4.5
alternate reality	1.5
Leonardo DiCaprio	1
sci-fi	3.5
thought-provoking	5
visually appealing	4
stranded	2.5
alter ego	3
atmospheric	4
creepy	2
horror	2
obsession	4
surreal	0.5
illusions	4.5
overcomplicated	1
predictable	1.5
stupid ending	1.5
absorbing	3
acting	4
atmospheric	4
Hugh Jackman	4
Jake Gyllenhaal	4.5
morality	4.5
mystery	3.5
thriller	3.5
Jared Leto	0.5
social commentary	4
uplifting	3
fantasy	3
Tolkien	1.5
too long	5
Christopher Nolan	4.5
sci-fi	4.5
time-travel	4
atmospheric	4.5
dark	4
Metaphorical	4
psychological	0.5
annoying	4.5
Stupid ending	4.5
dark comedy	2
dark comedy	4.5
psychology	4
superhero	3
Myth	4
Action	4.5
Myth	3.5
Cambodia	2.5
crime	2
human rights	4.5
murder	4.5
procedural	3.5
pixar	1
game	1
pregnancy	4.5
remake	1.5
remake	1
politics	3.5
president	1
politics	4.5
president	4
Mafia	4
Jane Austen	3.5
Hollywood	4
serial killer	1
alcoholism	2.5
Shakespeare	2.5
In Netflix queue	4
Jane Austen	3
kidnapping	3.5
high school	2
teacher	3.5
time travel	2
Animal movie	1.5
pigs	2
death penalty	3.5
Nun	3.5
twins	1
Emma	2
Jane Austen	1
In Netflix queue	3
South Africa	4.5
Shakespeare	3.5
England	3.5
Journalism	4.5
wedding	4
serial killer	4.5
heist	1
adoption	0.5
prostitution	1
writing	1
music	4.5
Jekyll and Hyde	2.5
theater	4.5
crime	3.5
golf	0.5
muppets	3
Scotland	4
assassination	2
Holocaust	4
dating	4
journalism	3
moon	5
NASA	3
space	4
superhero	5
Michael Crichton	3
submarine	3
In Netflix queue	4
computers	2
Made me cry	5
generation X	4
school	3
Ireland	4
generation X	3
mental illness	3
psychology	3
Stephen King	5
In Netflix queue	3
movie business	3
basketball	4
France	3
infertility	5
basketball	3
Australia	3
Beethoven	5
Einstein	5
court	3
darth vader	4
luke skywalker	5
space opera	1
Louisa May Alcott	3
England	4
Girl Power	3
India	4
England	2
mental illness	5
Christmas	3
In Netflix queue	3
prison	3
disability	5
twins	3
In Netflix queue	4
hit men	3
hit men	3
TV	3
Death	4
marriage	3
time travel	3
Christmas	4
prison	5
Stephen King	2
wrongful imprisonment	4
In Netflix queue	5
Enterprise	5
mental illness	4
serial killer	2
